"","digest_id","round","dest_loc","dest_well","water_loc","water_well","tip1_loc","tip2_loc","quant","source_well","source_plate","uL_in","water","DNA","source_loc","pool"
"1","D4721","2_a","P12","A1","P11","A1","P8","P10",31.4,"H3","D4698-D4793",6.4,4.7,200,"P5","P77"
"2","D4724","2_a","P12","B1","P11","A1","P8","P10",19.78,"C4","D4698-D4793",10.1,1,200,"P5","P77"
"3","D4732","2_a","P12","C1","P11","A1","P8","P10",34.6,"C5","D4698-D4793",5.8,5.3,200,"P5","P77"
"4","D4733","2_a","P12","D1","P11","A1","P8","P10",39.2,"D5","D4698-D4793",5.1,6,200,"P5","P77"
"5","D4749","2_a","P12","E1","P11","A1","P8","P10",35,"D7","D4698-D4793",5.7,5.4,200,"P5","P77"
"6","D4752","2_a","P12","F1","P11","A1","P8","P10",28,"G7","D4698-D4793",7.1,4,200,"P5","P77"
"7","D4760","2_a","P12","G1","P11","A1","P8","P10",27.6,"G8","D4698-D4793",7.2,3.9,200,"P5","P77"
"8","D4771","2_a","P12","H1","P11","A1","P8","P10",19.48,"B10","D4698-D4793",10.3,0.8,200,"P5","P77"
"9","D4781","2_a","P12","A2","P11","A1","P8","P10",31.2,"D11","D4698-D4793",6.4,4.7,200,"P5","P77"
"10","D4783","2_a","P12","B2","P11","A1","P8","P10",43.4,"F11","D4698-D4793",4.6,6.5,200,"P5","P77"
"11","D4785","2_a","P12","C2","P11","A1","P8","P10",29.6,"H11","D4698-D4793",6.8,4.3,200,"P5","P77"
"12","D4800","2_a","P12","D2","P11","A1","P8","P10",112,"G1","D4794-D4887",1.8,9.3,200,"P6","P77"
"13","D4839","2_a","P12","E2","P11","A1","P8","P10",102,"F6","D4794-D4887",2,9.1,200,"P6","P77"
"14","D4852","2_a","P12","F2","P11","A1","P8","P10",95.4,"C8","D4794-D4887",2.1,9,200,"P6","P77"
"15","D4883","2_a","P12","G2","P11","A1","P8","P10",78,"B12","D4794-D4887",2.6,8.5,200,"P6","P77"
"16","D4953","2_a","P12","H2","P11","A1","P8","P10",28.947,"B11","D4947-D5028",6.9,4.2,200,"P7","P77"
"17","D4996","2_a","P12","A3","P11","A1","P8","P10",35.368,"A4","D4947-D5028",5.7,5.4,200,"P7","P77"
"18","D5039","2_a","P12","B3","P11","A1","P8","P10",38.15,"C11","D5029-D5113",5.2,5.9,200,"P9","P77"
"19","D5045","2_a","P12","C3","P11","A1","P8","P10",32.253,"D11","D5029-D5113",6.2,4.9,200,"P9","P77"
"20","D5046","2_a","P12","D3","P11","A1","P8","P10",108.565,"B2","D5029-D5113",1.8,9.3,200,"P9","P77"
"21","D5067","2_a","P12","E3","P11","A1","P8","P10",26.617,"A2","D5029-D5113",7.5,3.6,200,"P9","P77"
"22","D4704","2_a","P12","F9","P11","A1","P8","P10",14.04,"G1","D4698-D4793",10.7,0.4,150,"P5","P78"
"23","D4741","2_a","P12","G9","P11","A1","P8","P10",15.14,"D6","D4698-D4793",9.9,1.2,150,"P5","P78"
"24","D4784","2_a","P12","H9","P11","A1","P8","P10",16.02,"G11","D4698-D4793",9.4,1.7,150,"P5","P78"
