"","digest_id","round","dest_loc","dest_well","water_loc","water_well","tip1_loc","tip2_loc","quant","source_well","source_plate","notes","uL_in","water","DNA","source_loc","pool"
"1","D4953","1_b","P12","B9","P11","A1","P8","P10",28.947,"B11","D4947-D5028",NA,6.9,4.2,200,"P13","P76"
"2","D4996","1_b","P12","C9","P11","A1","P8","P10",35.368,"A4","D4947-D5028",NA,5.7,5.4,200,"P13","P76"
"3","D5039","1_b","P12","D9","P11","A1","P8","P10",38.15,"C11","D5029-D5113",NA,5.2,5.9,200,"P5","P76"
"4","D5045","1_b","P12","E9","P11","A1","P8","P10",32.253,"D11","D5029-D5113",NA,6.2,4.9,200,"P5","P76"
"5","D5046","1_b","P12","F9","P11","A1","P8","P10",108.565,"B2","D5029-D5113",NA,1.8,9.3,200,"P5","P76"
"6","D5067","1_b","P12","G9","P11","A1","P8","P10",26.617,"A2","D5029-D5113",NA,7.5,3.6,200,"P5","P76"
"7","D5136","1_b","P12","H9","P11","A1","P8","P10",43.086,"C1","D5114-D5161",NA,4.6,6.5,200,"P6","P76"
"8","D5242","1_b","P12","A10","P11","A1","P8","P10",64.2,"G3","D5220-D5308",NA,3.1,8,200,"P7","P76"
"9","D5243","1_b","P12","B10","P11","A1","P8","P10",72.8,"H3","D5220-D5308",NA,2.7,8.4,200,"P7","P76"
"10","D5244","1_b","P12","C10","P11","A1","P8","P10",18.78,"A4","D5220-D5308",NA,10.6,0.5,200,"P7","P76"
"11","D5245","1_b","P12","D10","P11","A1","P8","P10",29.4,"B4","D5220-D5308",NA,6.8,4.3,200,"P7","P76"
"12","D5246","1_b","P12","E10","P11","A1","P8","P10",110,"C4","D5220-D5308",NA,1.8,9.3,200,"P7","P76"
"13","D5247","1_b","P12","F10","P11","A1","P8","P10",68.6,"D4","D5220-D5308",NA,2.9,8.2,200,"P7","P76"
"14","D5251","1_b","P12","G10","P11","A1","P8","P10",102,"H4","D5220-D5308",NA,2,9.1,200,"P7","P76"
"15","D5252","1_b","P12","H10","P11","A1","P8","P10",19.08,"A5","D5220-D5308",NA,10.5,0.6,200,"P7","P76"
"16","D5253","1_b","P12","A11","P11","A1","P8","P10",73.2,"B5","D5220-D5308",NA,2.7,8.4,200,"P7","P76"
"17","D5255","1_b","P12","B11","P11","A1","P8","P10",54.8,"D5","D5220-D5308",NA,3.6,7.5,200,"P7","P76"
"18","D5256","1_b","P12","C11","P11","A1","P8","P10",22,"E5","D5220-D5308",NA,9.1,2,200,"P7","P76"
"19","D5257","1_b","P12","D11","P11","A1","P8","P10",56.8,"F5","D5220-D5308",NA,3.5,7.6,200,"P7","P76"
"20","D5259","1_b","P12","E11","P11","A1","P8","P10",68.2,"H5","D5220-D5308",NA,2.9,8.2,200,"P7","P76"
"21","D5260","1_b","P12","F11","P11","A1","P8","P10",26.4,"A6","D5220-D5308",NA,7.6,3.5,200,"P7","P76"
"22","D5266","1_b","P12","G11","P11","A1","P8","P10",35.2,"G6","D5220-D5308",NA,5.7,5.4,200,"P7","P76"
"23","D5267","1_b","P12","H11","P11","A1","P8","P10",28.4,"H6","D5220-D5308",NA,7,4.1,200,"P7","P76"
"24","D5268","1_b","P12","A12","P11","A1","P8","P10",43.6,"A7","D5220-D5308",NA,4.6,6.5,200,"P7","P76"
"25","D5269","1_b","P12","B12","P11","A1","P8","P10",45.6,"B7","D5220-D5308",NA,4.4,6.7,200,"P7","P76"
"26","D5270","1_b","P12","C12","P11","A1","P8","P10",24.6,"C7","D5220-D5308",NA,8.1,3,200,"P7","P76"
"27","D5273","1_b","P12","D12","P11","A1","P8","P10",28.6,"F7","D5220-D5308",NA,7,4.1,200,"P7","P76"
"28","D5274","1_b","P12","E12","P11","A1","P8","P10",26.6,"G7","D5220-D5308",NA,7.5,3.6,200,"P7","P76"
"29","D5275","1_b","P12","F12","P11","A1","P8","P10",69.4,"H7","D5220-D5308",NA,2.9,8.2,200,"P7","P76"
"30","D5278","1_b","P12","G12","P11","A1","P8","P10",18.82,"C8","D5220-D5308",NA,10.6,0.5,200,"P7","P76"
"31","D5284","1_b","P12","H12","P11","A1","P8","P10",28.6,"A9","D5220-D5308",NA,7,4.1,200,"P7","P76"
